x,y,z
0.053982 ,  -0.011996 ,  -0.985663
0.055981 ,  -0.025991 ,  -1.067635
0.057980 ,  -0.037987 ,  -1.055639
0.037987 ,  -0.031989 ,  -1.041644
0.025991 ,  -0.039986 ,  -1.007656
0.053982 ,  -0.027990 ,  -1.023650
0.053982 ,  -0.011996 ,  -0.997659
0.065977 ,  -0.013995 ,  -1.021651
0.037987 ,  -0.027990 ,  -1.039645
0.051982 ,  -0.015995 ,  -1.047642
0.031989 ,  -0.023992 ,  -0.991661
0.057980 ,  -0.027990 ,  -1.029648
0.055981 ,  -0.035988 ,  -1.023650
0.061979 ,  -0.021992 ,  -1.023650
0.041986 ,  -0.017994 ,  -1.049641
0.043985 ,  -0.023992 ,  -1.035646
0.071975 ,  -0.025991 ,  -1.017652
0.051982 ,  -0.013995 ,  -1.019652
0.053982 ,  -0.017994 ,  -0.997659
0.047984 ,  -0.023992 ,  -0.995660
0.049983 ,  -0.025991 ,  -1.067635
0.059980 ,  -0.033988 ,  -1.027649
0.027990 ,  -0.025991 ,  -1.005656
0.049983 ,  -0.027990 ,  -1.047642
0.065977 ,  -0.025991 ,  -1.015653
0.063978 ,  -0.025991 ,  -1.051641
0.071975 ,  -0.021992 ,  -1.005656
0.033988 ,  -0.025991 ,  -1.065636
0.061979 ,  -0.017994 ,  -1.003657
0.097967 ,  -0.017994 ,  -1.003657
0.055981 ,  -0.035988 ,  -1.055639
0.057980 ,  -0.029990 ,  -1.033647
0.015995 ,  -0.033988 ,  -1.003657
0.051982 ,  -0.025991 ,  -1.023650
0.055981 ,  -0.017994 ,  -1.053640
0.009997 ,  -0.031989 ,  -1.017652
0.049983 ,  -0.017994 ,  -1.043643
0.041986 ,  -0.035988 ,  -0.975667
0.043985 ,  -0.009997 ,  -0.991661
0.051982 ,  -0.021992 ,  -1.005656
0.049983 ,  -0.015995 ,  -1.049641
0.049983 ,  -0.015995 ,  -1.013654
0.041986 ,  -0.017994 ,  -1.035646
0.055981 ,  -0.021992 ,  -0.983664
0.031989 ,  -0.021992 ,  -1.039645
0.039986 ,  -0.023992 ,  -0.961671
0.041986 ,  -0.033988 ,  -1.017652
0.049983 ,  -0.027990 ,  -1.027649
0.035988 ,  -0.019993 ,  -1.011654
0.035988 ,  -0.033988 ,  -1.013654
0.059980 ,  -0.019993 ,  -1.025650
0.069976 ,  -0.025991 ,  -0.993661
0.047984 ,  -0.017994 ,  -1.015653
0.045984 ,  -0.027990 ,  -1.053640
0.059980 ,  -0.025991 ,  -1.057639
0.053982 ,  -0.023992 ,  -1.031647
0.061979 ,  -0.021992 ,  -0.997659
0.083971 ,  -0.021992 ,  -1.025650
0.045984 ,  -0.023992 ,  -0.995660
0.057980 ,  -0.035988 ,  -1.005656
0.013995 ,  -0.023992 ,  -1.015653
0.067977 ,  -0.021992 ,  -0.955673
0.045984 ,  -0.019993 ,  -1.059638
0.047984 ,  -0.009997 ,  -0.949676
0.093968 ,  -0.021992 ,  -1.009655
0.043985 ,  -0.023992 ,  -1.001658
0.045984 ,  -0.029990 ,  -1.043643
0.031989 ,  -0.025991 ,  -1.063637
0.055981 ,  -0.007997 ,  -1.007656
0.039986 ,  -0.009997 ,  -0.977666
0.067977 ,  -0.023992 ,  -0.989662
0.043985 ,  -0.017994 ,  -0.989662
0.053982 ,  -0.017994 ,  -0.987663
0.043985 ,  -0.033988 ,  -1.021651
0.045984 ,  -0.033988 ,  -0.995660
0.043985 ,  -0.021992 ,  -0.983664
0.027990 ,  -0.021992 ,  -1.053640
0.031989 ,  -0.025991 ,  -1.045643
0.057980 ,  -0.019993 ,  -0.977666
0.035988 ,  -0.017994 ,  -0.993661
0.039986 ,  -0.025991 ,  -1.047642
0.033988 ,  -0.013995 ,  -1.013654
0.039986 ,  -0.027990 ,  -0.975667
0.085971 ,  -0.007997 ,  -1.015653
0.033988 ,  -0.021992 ,  -0.991661
0.059980 ,  -0.029990 ,  -1.043643
0.019993 ,  -0.013995 ,  -1.017652
0.059980 ,  -0.027990 ,  -1.075632
0.057980 ,  -0.029990 ,  -1.003657
0.039986 ,  -0.033988 ,  -1.027649
0.057980 ,  -0.023992 ,  -1.007656
0.035988 ,  -0.011996 ,  -0.965670
0.067977 ,  -0.033988 ,  -1.061637
0.035988 ,  -0.011996 ,  -1.025650
0.059980 ,  -0.031989 ,  -1.059638
0.059980 ,  -0.031989 ,  -1.061637
0.033988 ,  -0.025991 ,  -1.029648
0.057980 ,  -0.029990 ,  -1.047642
0.035988 ,  -0.027990 ,  -1.011654
0.047984 ,  -0.033988 ,  -0.983664
0.051982 ,  -0.015995 ,  -1.005656
0.033988 ,  -0.017994 ,  -0.987663
0.027990 ,  -0.021992 ,  -0.995660
0.027990 ,  -0.019993 ,  -1.009655
0.043985 ,  -0.035988 ,  -1.025650
0.019993 ,  -0.033988 ,  -1.021651
0.037987 ,  -0.023992 ,  -1.025650
0.047984 ,  -0.031989 ,  -1.005656
0.067977 ,  -0.011996 ,  -1.005656
0.039986 ,  -0.027990 ,  -1.009655
0.053982 ,  -0.029990 ,  -1.043643
0.013995 ,  -0.035988 ,  -0.999658
0.067977 ,  -0.015995 ,  -1.009655
0.041986 ,  -0.021992 ,  -0.981665
0.073975 ,  -0.025991 ,  -0.993661
0.049983 ,  -0.043985 ,  -0.995660
0.051982 ,  -0.025991 ,  -1.023650
0.033988 ,  -0.029990 ,  -1.035646
0.041986 ,  -0.023992 ,  -0.961671
0.063978 ,  -0.017994 ,  -0.981665
0.043985 ,  -0.021992 ,  -1.035646
0.021992 ,  -0.023992 ,  -1.063637
0.035988 ,  -0.011996 ,  -0.997659
0.037987 ,  -0.035988 ,  -1.013654
0.051982 ,  -0.023992 ,  -0.987663
0.059980 ,  -0.023992 ,  -0.993661
0.063978 ,  -0.015995 ,  -0.993661
0.079973 ,  -0.021992 ,  -1.005656
