x,y,z
0.007997 ,  -0.131955 ,  1.027649
0.005998 ,  -0.131955 ,  1.033647
0.002999 ,  -0.141952 ,  1.040645
0.005998 ,  -0.135954 ,  1.042644
0.005998 ,  -0.133954 ,  1.041644
0.007997 ,  -0.129956 ,  1.051641
-0.005998 ,  -0.136953 ,  1.049641
0.005998 ,  -0.135954 ,  1.043643
0.026991 ,  -0.129956 ,  1.072633
0.008997 ,  -0.133954 ,  1.031647
0.004998 ,  -0.130955 ,  1.038645
0.001000 ,  -0.132955 ,  1.033647
0.000000 ,  -0.129956 ,  1.035646
0.001999 ,  -0.130955 ,  1.038645
-0.002999 ,  -0.126957 ,  1.045643
0.001999 ,  -0.130955 ,  1.064636
0.003999 ,  -0.128956 ,  1.056639
0.003999 ,  -0.132955 ,  1.047642
0.001999 ,  -0.132955 ,  1.037646
0.002999 ,  -0.129956 ,  1.040645
0.004998 ,  -0.130955 ,  1.042644
0.007997 ,  -0.129956 ,  1.022651
0.000000 ,  -0.133954 ,  1.037646
0.004998 ,  -0.134954 ,  1.042644
-0.029990 ,  -0.131955 ,  1.036646
-0.001000 ,  -0.129956 ,  1.038645
0.000000 ,  -0.128956 ,  1.044643
0.004998 ,  -0.135954 ,  1.071634
0.011996 ,  -0.132955 ,  1.045643
0.009997 ,  -0.131955 ,  1.046642
0.007997 ,  -0.131955 ,  1.047642
-0.008997 ,  -0.127956 ,  1.035646
-0.001999 ,  -0.128956 ,  1.039645
0.001999 ,  -0.128956 ,  1.041644
0.005998 ,  -0.127956 ,  1.046642
0.005998 ,  -0.128956 ,  1.048642
0.006998 ,  -0.127956 ,  1.044643
-0.010996 ,  -0.122958 ,  1.072633
-0.010996 ,  -0.129956 ,  1.059638
0.003999 ,  -0.132955 ,  1.051641
-0.009997 ,  -0.123958 ,  1.075632
-0.003999 ,  -0.126957 ,  1.047642
0.001000 ,  -0.127956 ,  1.046642
-0.001999 ,  -0.129956 ,  1.069635
0.005998 ,  -0.128956 ,  1.048642
0.005998 ,  -0.130955 ,  1.046642
0.003999 ,  -0.132955 ,  1.057639
0.006998 ,  -0.123958 ,  1.062637
0.006998 ,  -0.126957 ,  1.054640
0.005998 ,  -0.128956 ,  1.047642
0.011996 ,  -0.121958 ,  1.056639
0.008997 ,  -0.125957 ,  1.045643
0.008997 ,  -0.129956 ,  1.044643
0.038987 ,  -0.134954 ,  1.059638
0.030989 ,  -0.132955 ,  1.051641
0.011996 ,  -0.131955 ,  1.048642
0.012996 ,  -0.140952 ,  1.038645
0.011996 ,  -0.133954 ,  1.038645
0.008997 ,  -0.132955 ,  1.039645
0.013995 ,  -0.129956 ,  1.040645
0.009997 ,  -0.134954 ,  1.022651
0.005998 ,  -0.132955 ,  1.034646
0.012996 ,  -0.125957 ,  1.025650
0.001999 ,  -0.127956 ,  1.038645
0.003999 ,  -0.131955 ,  1.040645
0.003999 ,  -0.131955 ,  1.041644
0.000000 ,  -0.122958 ,  1.020651
0.001999 ,  -0.127956 ,  1.030648
0.004998 ,  -0.134954 ,  1.033647
-0.018994 ,  -0.140952 ,  1.072633
-0.001000 ,  -0.136953 ,  1.057639
0.001000 ,  -0.134954 ,  1.051641
-0.013995 ,  -0.136953 ,  1.034646
-0.003999 ,  -0.128956 ,  1.032647
0.006998 ,  -0.127956 ,  1.038645
0.014995 ,  -0.120959 ,  1.046642
0.012996 ,  -0.125957 ,  1.043643
0.007997 ,  -0.130955 ,  1.044643
-0.008997 ,  -0.127956 ,  1.057639
0.000000 ,  -0.134954 ,  1.033647
0.003999 ,  -0.136953 ,  1.035646
0.002999 ,  -0.130955 ,  1.042644
-0.003999 ,  -0.133954 ,  1.027649
0.001999 ,  -0.134954 ,  1.034646
0.003999 ,  -0.135954 ,  1.043643
0.012996 ,  -0.135954 ,  1.045643
0.007997 ,  -0.134954 ,  1.046642
0.006998 ,  -0.132955 ,  1.043643
0.008997 ,  -0.136953 ,  1.046642
0.017994 ,  -0.134954 ,  1.046642
0.011996 ,  -0.132955 ,  1.047642
0.009997 ,  -0.127956 ,  1.090627
0.010996 ,  -0.128956 ,  1.045643
0.007997 ,  -0.132955 ,  1.044643
0.016994 ,  -0.142951 ,  1.065636
